#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Score,Confidence,Confidence,Confidence,,
1,Which Faq are you using,Version 20171026,Version 20171026,,1,0,1,0.639092927,0.5,0.707106781,,2.064078513
2,What is the FAQ version,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,0.806437386
3,Which FAQ version we’re using,Version 20171026,Version 20171026,,1,0,2,0.803813476,0.666666667,0.894427191,,
4,What FAQ version is used,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,
5,What is the version of FAQ,Version 20171026,Version 20171026,,1,0,2.118879492,0.81418938,0.67937203,0.904344533,,
6,Which version of FAQ is used,Version 20171026,Version 20171026,,1,0,2.049929282,0.808305062,0.672123545,0.898762486,,
7,What are the course components,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
8,What are the components of the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
9,Which components does the course have,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.56461568,0.461885535,0.360865411,0.491660105,,
10,Which components are in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.636895789,0.500137979,0.38908756,0.537194928,,
11,What components are included in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
12,What can you tell me about the course,Post a private Piazza message visible only to the instructors,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,-0.5,74,1.247058824,0.69950917,0.554973822,0.780150254,,
13,What components are included in the course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
14,How long are the videos,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,1.720749678,0.774413484,0.632454243,0.864602331,,
15,How many videos are there,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,0.720749678,0.539407352,0.418857947,0.58470519,,
16,How many hours of video are there,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,0.720749678,0.539407352,0.418857947,0.58470519,,
17,How long do the videos take,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,1.648469569,0.765377991,0.622423451,0.854984525,,
18,How much video are in the course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,0.720749678,0.539407352,0.418857947,0.58470519,,
19,How many hours of instruction for this class,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,1.525018259,0.74824305,0.60396326,0.836247378,,
20,How long are the instruction for this course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,2,1.120749678,0.671134584,0.52846863,0.746159015,,
21,How many instructions are in this course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,1.127863841,0.672861768,0.530045118,0.748247313,,
22,How much time do instructions take in this class,The class demands significant amount of time and energy on a regular basis.,This course has 26 videos with about 18 hours of instruction.,,-0.5,36,1.544478496,0.751099952,0.606992159,0.839413567,,
23,How many hours of instruction are in this course,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,1.377406183,0.72438017,0.579373518,0.809224844,,
24,How many exercises are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,1.730226745,0.775548982,0.633730055,0.865797126,,
25,How many questions are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,0.730226745,0.543530233,0.422041069,0.589730956,,
26,How many tutors are in the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,0.730226745,0.543530233,0.422041069,0.589730956,,
27,How many nano-tutors are there,I do not know.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,-0.5,11,0.384677408,0.346027381,0.277810128,0.359029507,,
28,Are there exercises to go with the videos,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,1.448186739,0.736331253,0.591534427,0.822880551,,
29,Are there tutors to go with the videos,"We will use the Piazza forum for announcements, question answering, discussions, and collaboration.",The videos have ~150 exercises and ~100 “tutors” embedded in them.,,-0.5,7,1,0.639092927,0.5,0.707106781,,
30,Are there accompanying readings,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.","Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,1,5,1.617085037,0.761236183,0.617895488,0.85051283,,
31,Do you need to do more than just watch the videos,I do not know.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,30,1,0.639092927,0.5,0.707106781,,
32,Are there resources to help with the projects,Projects will be done individually.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,13,0.603278633,0.482885279,0.376278097,0.516558482,,
33,Are the videos enough to do well in the class,This course has 26 videos with about 18 hours of instruction.,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,2,0.672280109,0.517340105,0.402014056,0.557921187,,
34,Is there more content than just the videos,No,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",,-0.5,30,1,0.639092927,0.5,0.707106781,,
35,Are there additional readings,Yes,Yes,,1,34,1.118895966,0.67068181,0.528056112,0.745611229,,
36,Do you need to read additional material,Yes,Yes,,1,34,1.143898669,0.676694736,0.533560044,0.752873868,,
37,Are there more reading,Yes.,Yes,,-0.5,45,0.784445189,0.565986652,0.439601728,0.617203974,,
38,Will we be required to do additional reading,Yes,Yes,,1,34,1.303198145,0.710713616,0.565821116,0.793347198,,
39,Will there be more readings,Yes.,Yes,,-0.5,45,0.784445189,0.565986652,0.439601728,0.617203974,,
40,"Besides lectures, do we need to study anything else",The projects do not require any specialized knowledge of computer vision or image processing.,Yes.,,-0.5,12,0.718345907,0.538351907,0.418044996,0.583419628,,
41,Who will give peer feedback,"We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,1,6,2.188267848,0.819766838,0.686350066,0.909529634,,
42,How much peer feedback is expected,"No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,48,1,0.639092927,0.5,0.707106781,,
43,Will I need to perform peer reviews,"No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,48,1.057013575,0.654891337,0.513858337,0.726426457,,
44,How many peer reviews will I need to do,"No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,48,1.129508802,0.673258785,0.53040814,0.748727034,,
45,Who will perform peer reviews,"We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,1,6,1.047085293,0.652230241,0.511500569,0.723179768,,
46,Where do I go for announcements,"We will use the Piazza forum for announcements, question answering, discussions, and collaboration.","We will use the Piazza forum for announcements, question answering, discussions, and collaboration.",,1,7,2.319267203,0.829453601,0.698728683,0.918278621,,
47,Do I need to log into Piazza regularly,"It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).","It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).",,1,8,4.211735482,0.904495476,0.808125335,0.972951463,,
48,How many writing components are there,"The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.","The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.",,1,9,1.606278792,0.759777666,0.616311193,0.848929123,,
49,How are examinations given,The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.,The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.,,1,10,1.757113314,0.77871156,0.637301813,0.869107888,,
50,How many exams are there,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,,1,11,0.684142648,0.522896591,0.406226069,0.564645757,,
51,Is there any exam,I do not know.,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,,-0.5,11,0.447309183,0.389923226,0.30906263,0.408321003,,
52,Do I need to know computer vision,The projects do not require any specialized knowledge of computer vision or image processing.,The projects do not require any specialized knowledge of computer vision or image processing.,,1,12,3.312419916,0.879120881,0.768111636,0.957325778,,
53,Is prior knowledge of computer vision required for the projects,The projects do not require any specialized knowledge of computer vision or image processing.,The projects do not require any specialized knowledge of computer vision or image processing.,,1,12,2,0.803813476,0.666666667,0.894427191,,
54,Is prior knowledge of image processing required for the projects,Yes,The projects do not require any specialized knowledge of computer vision or image processing.,,-0.5,29,0.679813598,0.5208808,0.404695854,0.562204605,,
55,Are projects individual or group,Projects will be done individually.,Projects will be done individually.,,1,13,2.659222689,0.850408204,0.726717917,0.936005747,,
56,What are the primary learning goals for KBAI,"The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",,1,14,2.926653358,0.86364357,0.745330206,0.946285077,,
57,What are the primary goals of this class,"The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",,1,14,1.712281987,0.773389576,0.631306772,0.863522237,,
58,What is the structure of this course,"The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.","The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.",,1,15,1.309466633,0.711916639,0.56699959,0.794755032,,
59,What will I learn in this class,"At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.","At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.",,1,16,1.374932862,0.723944179,0.578935465,0.808722423,,
60,What is the Technical Report,"The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.","The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.",,1,17,2.118879492,0.81418938,0.67937203,0.904344533,,
61,How is this class taught,"Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.","Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.",,1,18,1.246387234,0.699370272,0.554840775,0.779985744,,
62,How does this course encourage Learning by Doing,"Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.","Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.",,1,19,2.351059089,0.831653101,0.701586879,0.920218178,,
63,How does this course utilize Project Based Learning strategies,"This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.","This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.",,1,20,3.004928303,0.867091882,0.75030764,0.9488388,,
64,Is Collaborative Learning allowed,"We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.","We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.",,1,21,2.314746432,0.829136271,0.698317799,0.91799733,,
65,How does Peer-to-Peer Learning work,"During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.","During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.",,1,22,0.917740354,0.613907324,0.478552976,0.676154367,,
66,How does this course encourage Self-Reflection,"At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.","At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.",,1,23,1.856099592,0.789651668,0.649872153,0.880359853,,
67,How does this course ensure Authenticity,"The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.","The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.",,1,24,2.272766259,0.826133569,0.694448084,0.915317579,,
68,How many projects does this course have,This class has three projects.,This class has three projects.,,1,25,0.996933199,0.638206526,0.499232122,0.706020005,,
69,"Where can I find more information on learning goals, strategies, and outcomes",More information can be found in the Technical Report.,More information can be found in the Technical Report.,,1,26,3.254783325,0.877032725,0.764970405,0.955900425,,
70,Can I watch lectures in advance,"Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.","Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.",,1,27,2.827380767,0.859008463,0.738724715,0.942770268,,
71,Can I discuss completed assignments with other students,Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.,Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.,,1,28,4.166869716,0.903482758,0.806459219,0.972389883,,
72,Is Python or Java required for this course,Yes,Yes,,1,29,2.197238485,0.820464202,0.687230088,0.9101705,,
73,Can I use a language other than Python or Java,No,No,,1,30,4.653353642,0.913442162,0.823113843,0.977679447,,
74,How many essays will I have to write,"8. Three Assignments, three reflection reports and two examinations.","8. Three Assignments, three reflection reports and two examinations.",,1,31,2.404894856,0.835253923,0.706305175,0.923354695,,
75,How can I engage with my classmates,"You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.","You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.",,1,32,2.860630883,0.860595079,0.740974978,0.9439839,,
76,Will I have to work independently,"Yes. You will have to work independently on design, programming and reflections.","Yes. You will have to work independently on design, programming and reflections.",,1,33,1.603135185,0.759350183,0.615847842,0.848464073,,
77,Will I have to do additional reading for this class,Yes,Yes,,1,34,1.574712495,0.755418417,0.61160712,0.844168531,,
78,Are the deadlines for assignments fixed,Yes,Yes,,1,35,1.851392596,0.789155092,0.649294172,0.879856118,,
79,How much time does the class demand,The class demands significant amount of time and energy on a regular basis.,The class demands significant amount of time and energy on a regular basis.,,1,36,2.544478496,0.84392397,0.717871049,0.930703752,,
80,Will I have to adhere to Georgia Tech code of conduct to take this class,Yes,Yes,,1,37,5.14578483,0.921637653,0.837286851,0.981635731,,
81,Where can I find the reading list,Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.,Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.,,1,38,0.80288089,0.573204681,0.445332187,0.626063865,,
82,How will I know which readings relate to which lectures,"It will be provided in the description of video lecture, project / you can always ask the TA's.","It will be provided in the description of video lecture, project / you can always ask the TA's.",,1,39,2.697351519,0.852447356,0.72953613,0.937637657,,
83,Are the readings mandatory,"It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.","It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.",,1,40,1.576373479,0.75565154,0.611857517,0.844424131,,
84,Can we ask for clarification on reading list materials,Yes.,Yes.,,1,41,3.895452302,0.896871197,0.795728783,0.96859407,,
85,How many sets of reading list are there,Two - one for project  another for video lectures.,Two - one for project  another for video lectures.,,1,42,1.111950787,0.668975313,0.526504118,0.743545364,,
86,What is the scope of these reading sets,"The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.","The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.",,1,43,1.916965214,0.795875453,0.657177948,0.886614389,,
87,Is there an order to be followed for the reading list,"Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.","Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.",,1,44,2.616027811,0.848030261,0.723453454,0.934081124,,
88,Can we request for more reading papers,Yes.,Yes.,,1,45,3.28823588,0.878253292,0.766803873,0.956736056,,
